ngram,Total,claro,movistar,personal
+543517247001_lueg,984,984,0,0
......_.....,1075,0,1075,0
......_sig,906,0,0,906
....._nadi,906,0,0,906
....._sig,906,0,0,906
....._tuuuuuuu,1075,0,1075,0
.@mercadopag_engañ,906,0,0,906
.@movistararg_dhelet,1075,0,1075,0
.@movistararg_present,1075,0,1075,0
.@personal_nunc,906,0,0,906
.desconoc_dictam,906,0,0,906
.estuv_mes,906,0,0,906
/personal_odise,906,0,0,906
005754480_pued,906,0,0,906
01/04/2020_respuest,906,0,0,906
017046367263_numer,1075,0,1075,0
02/07_funcion,1075,0,1075,0
045367263_much,1075,0,1075,0
05/07_sig,906,0,0,906
06/05_mientr,1075,0,1075,0
08109990365_cent,906,0,0,906
09:00_20/07/20,984,984,0,0
1.209_necesit,1075,0,1075,0
1.700_impos,1075,0,1075,0
"10,10_hor",984,984,0,0
10/07_lleg,1075,0,1075,0
100000_hor,906,0,0,906
100vec_ofrec,906,0,0,906
10:43_sig,1075,0,1075,0
11/07_compr,1075,0,1075,0
1135547885_gestion,906,0,0,906
1151010070_identific,906,0,0,906
1168905056_error,906,0,0,906
11:38hs_esper,1075,0,1075,0
12.000_punt,984,984,0,0
12/05_venciò,1075,0,1075,0
"13,23_pes",1075,0,1075,0
1385520358a_encuentr,1075,0,1075,0
14.000_seguidor,1075,0,1075,0
14.07_cambi,1075,0,1075,0
14/06_deberi,1075,0,1075,0
14/06_line,1075,0,1075,0
14/07_nadi,906,0,0,906
14:04_dat,984,984,0,0
14:04_esper,984,984,0,0
15.000_carg,906,0,0,906
16/06_respuest,906,0,0,906
16/07_tendri,906,0,0,906
16:10_pid,1075,0,1075,0
17:00hs_internet,1075,0,1075,0
"18,30hs_mañan",906,0,0,906
18.000_pes,906,0,0,906
1887180_usted,984,984,0,0
18:00_convers,3936,3936,0,0
18:00hs_imperd,10824,10824,0,0
18:54_recib,906,0,0,906
"19.07.20_10,10",984,984,0,0
19.21_llam,1075,0,1075,0
1972795121_ten,906,0,0,906
1972937899_aguard,906,0,0,906
1anunci_doming,984,984,0,0
1hor_medi,1075,0,1075,0
1hor_vend,906,0,0,906
1predi_pod,984,984,0,0
20/07/20_numer,984,984,0,0
20:00_18:11,1968,1968,0,0
20:00_favor,984,984,0,0
20:30hs_argentin,984,984,0,0
20:30hs_celebr,18696,18696,0,0
20aniversari_podr,984,984,0,0
20di_esper,906,0,0,906
20meg_ahor,906,0,0,906
220$._imaginat,984,984,0,0
"2222,69_realiz",1075,0,1075,0
248ms_ahor,984,984,0,0
2614977840_titul,1075,0,1075,0
26776370_unic,984,984,0,0
27.000_dentr,1075,0,1075,0
27344362_esper,1075,0,1075,0
27583656_ofrec,906,0,0,906
27679037_segund,1075,0,1075,0
27871979_gener,1075,0,1075,0
27877439_rob,2150,0,2150,0
28/06_mentir,906,0,0,906
28/07_habilit,906,0,0,906
29/04_nunc,1075,0,1075,0
2974130870_decim,1075,0,1075,0
2974376564_2974647753,1075,0,1075,0
2974647753_2974130870,1075,0,1075,0
3.000.-_avis,1075,0,1075,0
3.000_interactu,2150,0,2150,0
3.400_pas,1075,0,1075,0
30/05_esper,1075,0,1075,0
30/06_esper,1075,0,1075,0
30/08_celul,906,0,0,906
30seg_lent,984,984,0,0
311/2020_plen,1968,1968,0,0
38'di_vergüenz,1075,0,1075,0
4.000_chanc,984,984,0,0
4/07/20_correspond,1075,0,1075,0
40000_punt,984,984,0,0
46.000_vieron,2150,0,2150,0
5.000_padr,1075,0,1075,0
54499_medi,984,984,0,0
583364516_ofrec,906,0,0,906
6.000_segu,1075,0,1075,0
61999_54499,984,984,0,0
67063315_sig,1075,0,1075,0
7.4.1_tampoc,1075,0,1075,0
7/6_6/7_jajajaj,906,0,0,906
77600_pes,1812,0,0,1812
9:21hrs_dentr,1075,0,1075,0
aaaaaa_aument,984,984,0,0
aass_ahor,1075,0,1075,0
