company,ngram,value
Total,amig_esper,26325
Total,atencion_client,29030
Total,buen_tard,26204
Total,celebr_amig,23616
Total,construccion_carrer,26568
Total,contrat_internet,47323
Total,cuid_ransomwar,72156
Total,entrev_stream,26568
Total,equip_principal,30504
Total,esper_respuest,36971
Total,hog_contrat,35424
Total,internet_hog,48216
Total,manag_construccion,26568
Total,movistargarc_movistargarc,131150
Total,playoffs_amador,22632
Total,ransomwar_telecom,72156
Total,solucion_problem,32684
Total,stream_manag,26568
Total,suficient_phishing,72156
Total,telecom_suficient,72156
claro,amig_esper,15744
claro,atencion_client,4920
claro,buen_tard,4920
claro,celebr_amig,23616
claro,construccion_carrer,26568
claro,contrat_internet,46248
claro,cuid_ransomwar,33456
claro,entrev_stream,26568
claro,equip_principal,30504
claro,esper_respuest,5904
claro,hog_contrat,35424
claro,internet_hog,48216
claro,manag_construccion,26568
claro,movistargarc_movistargarc,0
claro,playoffs_amador,22632
claro,ransomwar_telecom,33456
claro,solucion_problem,3936
claro,stream_manag,26568
claro,suficient_phishing,33456
claro,telecom_suficient,33456
movistar,amig_esper,9675
movistar,atencion_client,15050
movistar,buen_tard,8600
movistar,celebr_amig,0
movistar,construccion_carrer,0
movistar,contrat_internet,1075
movistar,cuid_ransomwar,38700
movistar,entrev_stream,0
movistar,equip_principal,0
movistar,esper_respuest,24725
movistar,hog_contrat,0
movistar,internet_hog,0
movistar,manag_construccion,0
movistar,movistargarc_movistargarc,131150
movistar,playoffs_amador,0
movistar,ransomwar_telecom,38700
movistar,solucion_problem,21500
movistar,stream_manag,0
movistar,suficient_phishing,38700
movistar,telecom_suficient,38700
personal,amig_esper,906
personal,atencion_client,9060
personal,buen_tard,12684
personal,celebr_amig,0
personal,construccion_carrer,0
personal,contrat_internet,0
personal,cuid_ransomwar,0
personal,entrev_stream,0
personal,equip_principal,0
personal,esper_respuest,6342
personal,hog_contrat,0
personal,internet_hog,0
personal,manag_construccion,0
personal,movistargarc_movistargarc,0
personal,playoffs_amador,0
personal,ransomwar_telecom,0
personal,solucion_problem,7248
personal,stream_manag,0
personal,suficient_phishing,0
personal,telecom_suficient,0
